DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1109/WSC.2007.4419668,"Z. Mikovec, and I. Maly, and P. Slavik, and J. Curin",Henry,,,,,No,No,No,,,IEEE,,,Visualization of users’ activities in a specific environment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4419668,2007 Winter Simulation Conference,,2007
10.1109/ICHI.2013.54,"J. M. Juarez, and J. M. Ochotorena, and M. Campos, and C. Combi",Henry,,,,,No,No,No,,,IEEE,,,Multiple Temporal Axes for Visualising the Behaviour of Elders Living Alone,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680501,2013 IEEE International Conference on Healthcare Informatics,,2013
10.1109/TVCG.2024.3477926,"L. Shen, and H. Li, and Y. Wang, and T. Luo, and Y. Luo, and H. Qu",Henry,,,,,No,No,No,,,IEEE,,,Data Playwright: Authoring Data Videos With Annotated Narration,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10720675,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/MCG.2014.44,"P. Krejov, and A. Gilbert, and R. Bowden",Henry,,,,,No,No,No,,,IEEE,,,A Multitouchless Interface: Expanding User Interaction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6813977,IEEE Computer Graphics and Applications,,2014
10.1109/IEEECONF49502.2020.9141613,"R. Damasevicius, and J. Toldinas, and A. Venckauskas, and S. Grigaliunas, and N. Morkevicius",Henry,,,,,No,No,No,,,IEEE,,,Technical Threat Intelligence Analytics: What and How to Visualize for Analytic Process,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9141613,2020 24th International Conference Electronics,,2020
10.1109/ICNWC60771.2024.10537532,"K. A. Kumar, and J. F. Rajan, and C. Appala, and S. Balurgi, and P. R. Balaiahgari",Henry,,,,,No,No,No,,,IEEE,,,Medibot: Personal Medical Assistant,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10537532,2024 2nd International Conference on Networking and Communications (ICNWC),,2024
10.1109/ICGI47575.2019.8955070,"G. Pires, and D. Mendes, and D. Gonçalves",Henry,,,,,No,No,No,,,IEEE,,,VisMillion: A novel interactive visualization technique for real-time big data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955070,2019 International Conference on Graphics and Interaction (ICGI),,2019
10.1109/VAST.2017.8585484,"H. Chung, and S. P. Dasari, and S. Nandhakumar, and C. Andrews",Henry,,,,,No,No,No,,,IEEE,,,CRICTO: Supporting Sensemaking through Crowdsourced Information Schematization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585484,2017 IEEE Conference on Visual Analytics Science and Technology (VAST),,2017
10.1109/SoutheastCon42311.2019.9020497,"A. Tanner, and J. Bruno",Henry,,,,,No,No,No,,,IEEE,,,Timely: A Chain of Custody Data Visualizer,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020497,2019 SoutheastCon,,2019
10.1145/1985793.1985890,"R. Bellamy, and B. John, and S. Kogan",Henry,,,,,No,No,No,,,IEEE,,,Deploying CogTool: integrating quantitative usability assessment into real-world software development,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032510,2011 33rd International Conference on Software Engineering (ICSE),,2011
10.1109/IV.2019.00048,"M. John, and K. Kurzhals, and T. Ertl",Henry,,,,,No,No,No,,,IEEE,,,Visual Exploration of Topics in Multimedia News Corpora,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812119,2019 23rd International Conference Information Visualisation (IV),,2019
10.1109/TVCG.2021.3114761,"Y. Wang, and D. Cheng, and Z. Wang, and J. Zhang, and L. Zhou, and G. He, and O. Deussen","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,F2-Bubbles: Faithful Bubble Set Construction and Flexible Editing,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552179,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/TVCG.2023.3326520,"A. Offenwanger, and M. Brehmer, and F. Chevalier, and T. Tsandilas","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,TimeSplines: Sketch-Based Authoring of Flexible and Idiosyncratic Timelines,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308646,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/ICSM.2013.102,"E. Stroulia, and I. Matichuk, and F. Rocha, and K. Bauer",Henry,,,,,No,No,No,,,IEEE,,,Interactive Exploration of Collaborative Software-Development Data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676943,2013 IEEE International Conference on Software Maintenance,,2013
10.1109/VAST.2014.7042536,"M. Whiting, and K. Cook, and G. Grinstein, and K. Liggett, and M. Cooper, and J. Fallon, and M. Morin",Henry,,,,,No,No,No,,,IEEE,,,VAST challenge 2014: The Kronos incident,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7042536,2014 IEEE Conference on Visual Analytics Science and Technology (VAST),,2014
10.1109/ACCESS.2024.3363879,"S. Pongpaichet, and B. Sukosit, and C. Duangtanawat, and J. Jamjongdamrongkit, and C. Mahacharoensuk, and K. Matangkarat, and P. Singhajan, and T. Noraset, and S. Tuarob",Henry,,,,,No,No,No,,,IEEE,,,CAMELON: A System for Crime Metadata Extraction and Spatiotemporal Visualization From Online News Articles,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424974,IEEE Access,,2024
10.1109/VizSec51108.2020.00007,"M. Schufrin, and S. L. Reynolds, and A. Kuijper, and J. Kohlhammer",Henry,,,,,No,No,No,,,IEEE,,,A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9347416,2020 IEEE Symposium on Visualization for Cyber Security (VizSec),,2020
10.1109/TVCG.2022.3209473,"T. Neuroth, and M. Rieth, and K. Aditya, and M. Lee, and J. H. Chen, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,Level Set Restricted Voronoi Tessellation for Large scale Spatial Statistical Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904439,IEEE Transactions on Visualization and Computer Graphics,,2023
10.1109/CIP.2014.6844512,H. -P. Gasselseder,Henry,,,,,No,No,No,,,IEEE,,,Those who played were listening to the music? Immersion and dynamic music in the ludonarrative,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6844512,2014 4th International Workshop on Cognitive Information Processing (CIP),,2014
10.1109/EISIC.2015.35,"P. J. Passmore, and S. Attfield, and N. Kodagoda, and C. Groenewald, and B. L. W. Wong",Henry,,,,,No,No,No,,,IEEE,,,Supporting the Externalisation of Thinking in Criminal Intelligence Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379718,2015 European Intelligence and Security Informatics Conference,,2015
10.1109/ICDSP.2014.6900672,"S. S. Thomas, and S. Gupta, and K. S. Venkatesh",Henry,,,,,No,No,No,,,IEEE,,,Non user interaction content summarization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900672,2014 19th International Conference on Digital Signal Processing,,2014
10.1109/TVCG.2024.3456144,"A. Narechania, and K. Odak, and M. El-Assady, and A. Endert",Henry,,,,,No,No,No,,,IEEE,,,ProvenanceWidgets: A Library of UI Control Elements to Track and Dynamically Overlay Analytic Provenance,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670077,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/NicoInt.2016.3,"L. Xu, and M. Nakayama, and H. -Y. Wu, and K. Watanabe, and S. Takahashi, and M. Uemura, and I. Fujishiro",Henry,,,,,No,No,No,,,IEEE,,,"TimeTubes: Design of a Visualization Tool for Time-Dependent, Multivariate Blazar Datasets",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7564038,2016 Nicograph International (NicoInt),,2016
10.1109/TVCG.2023.3326944,"Y. Guo, and Y. Luo, and K. Lu, and L. Li, and H. Yang, and X. Yuan",Henry,,,,,No,No,No,,,IEEE,,,LiberRoad: Probing into the Journey of Chinese Classics Through Visual Analytics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294205,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/TALE56641.2023.10398309,"O. Canovas, and F. J. Garcia-Clemente, and F. Pardo",Henry,,,,,No,No,No,,,IEEE,,,AI-driven Teacher Analytics: Informative Insights on Classroom Activities,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398309,"2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",,2023
10.1109/TVCG.2023.3250166,"G. Valdrighi, and N. Ferreira, and J. Poco","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,MoReVis: A Visual Summary for Spatiotemporal Moving Regions,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057127,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/VPA.2016.006,"R. Brendel, and M. Heyde, and H. Brunst, and T. Hilbrich, and M. Weber",Henry,,,,,No,No,No,,,IEEE,,,Edge Bundling for Visualizing Communication Behavior,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836370,2016 Third Workshop on Visual Performance Analysis (VPA),,2016
10.1109/iV.2015.60,"J. Sjöbergh, and X. Li, and R. Goebel, and Y. Tanaka",Henry,,,,,No,No,No,,,IEEE,,,A Visualization-Analytics-Interaction Workflow Framework for Exploratory and Explanatory Search on Geo-located Search Data Using the Meme Media Digital Dashboard,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272618,2015 19th International Conference on Information Visualisation,,2015
10.1109/PacificVis56936.2023.00029,"L. Yang, and A. Wu, and W. Tong, and X. Xu, and Z. Wei, and H. Qu",Henry,,,,,No,No,No,,,IEEE,,,Understanding 3D Data Videos: From Screens to Virtual Reality,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148393,2023 IEEE 16th Pacific Visualization Symposium (PacificVis),,2023
10.1109/INCoS.2014.24,"E. Luksys, and E. Asimakopoulou, and N. Bessis",Henry,,,,,No,No,No,,,IEEE,,,Development of Tools for Data Analysis of Earthquakes,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7057123,2014 International Conference on Intelligent Networking and Collaborative Systems,,2014
10.1109/TCSVT.2024.3423402,"W. Xia, and G. Sun, and T. Li, and B. Chang, and J. Tang, and G. Zhang, and R. Liang",Henry,,,,,No,No,No,,,IEEE,,,Video Visualization and Visual Analytics: A Task-Based and Application- Driven Investigation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584546,IEEE Transactions on Circuits and Systems for Video Technology,,2024
10.1109/VizSec53666.2021.00005,R. Gove,"Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9629397,2021 IEEE Symposium on Visualization for Cyber Security (VizSec),,2021
10.13052/jwe1540-9589.2028,"J. Lei, and X. Chu, and W. He",Henry,,,,,No,No,No,,,IEEE,,,Trajectory Data Restoring: A Way of Visual Analysis of Vessel Identity Base on OPTICS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247333,Journal of Web Engineering,,2021
10.1109/VISAP52981.2021.00015,"A. Song, and X. Song, and Y. Chen, and G. Luo, and Q. Li",Henry,,,,,No,No,No,,,IEEE,,,Decoding • Encoding – an exploration of data narrative in Tibetan characters,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622780,2021 IEEE VIS Arts Program (VISAP),,2021
10.1109/TVCG.2024.3456199,F. Beck,Henry,,,,,No,No,No,,,IEEE,,,PUREsuggest: Citation-Based Literature Search and Visual Exploration with Keyword-Controlled Rankings,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670434,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/TVCG.2024.3456392,"Y. Zhang, and L. Xu, and S. Tao, and Q. Guan, and Q. Li, and H. Zeng",Henry,,,,,No,No,No,,,IEEE,,,CSLens: Towards Better Deploying Charging Stations via Visual Analytics — a Coupled Networks Perspective,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670473,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/VL/HCC51201.2021.9576206,T. Nelson-Fromm,Henry,,,,,No,No,No,,,IEEE,,,Creating Better Teaching Tools Through Examining Teachers' Understanding of Data Representations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9576206,2021 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),,2021
10.1109/PICET60765.2024.10716196,"S. Khatri, and L. Chourasia, and A. Jain, and Y. Barge",Henry,,,,,No,No,No,,,IEEE,,,Touchless Control: Hand-Based Gesture Recognition for Human-Computer Interaction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716196,2024 Parul International Conference on Engineering and Technology (PICET),,2024
10.1109/VIS54862.2022.00012,"H. Bako, and A. Varma, and A. Faboro, and M. Haider, and F. Nerrise, and B. Kenah, and L. Battle",Henry,,,,,No,No,No,,,IEEE,,,Streamlining Visualization Authoring in D3 Through User-Driven Templates,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973201,2022 IEEE Visualization and Visual Analytics (VIS),,2022
10.1109/IPDPSW.2015.47,"M. Weber, and R. Geisler, and H. Brunst, and W. E. Nagel",Henry,,,,,No,No,No,,,IEEE,,,Folding Methods for Event Timelines in Performance Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284312,2015 IEEE International Parallel and Distributed Processing Symposium Workshop,,2015
10.1109/MCG.2022.3225692,K. -L. Ma,Henry,,,,,No,No,No,,,IEEE,,,Pushing Visualization Research Frontiers: Essential Topics Not Addressed by Machine Learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10035738,IEEE Computer Graphics and Applications,,2023
10.1109/ISMAR-Adjunct.2017.85,L. Díaz-Kommonen,Henry,,,,,No,No,No,,,IEEE,,,"Interactive Diorama: A Virtual Reality (VR) Reconstruction of The Anatomy Lesson of Doctor Nicolaes Tulp by Rembrandt, 1632",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8088500,2017 IEEE International Symposium on Mixed and Augmented Reality (ISMAR-Adjunct),,2017
10.1109/COMPSAC51774.2021.00057,"N. V. T. Nguyen, and J. Hass, and T. Dang",Henry,,,,,No,No,No,,,IEEE,,,TimeRadar: Visualizing the Dynamics of Multivariate Communities via Timeline Views,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529749,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",,2021
10.1109/IV.2010.26,"R. Bueno, and H. L. Razente, and D. S. Kaster, and M. C. N. Barioni, and A. J. M. Traina, and C. Traina Jr.",Henry,,,,,No,No,No,,,IEEE,,,Metric Data Analysis Enhanced through Temporal Visualization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5571334,2010 14th International Conference Information Visualisation,,2010
10.1109/ICSTW.2010.40,J. Kuusijärvi,Henry,,,,,No,No,No,,,IEEE,,,A Demo on Using Visualization to Aid Run-Time Verification of Dynamic Service Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463665,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",,2010
10.1109/VIS55277.2024.00055,"S. A. Sakin, and K. E. Isaacs",Henry,,,,,No,No,No,,,IEEE,,,A Literature-based Visualization Task Taxonomy for Gantt Charts,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771138,2024 IEEE Visualization and Visual Analytics (VIS),,2024
10.1109/ISMAR-AMH.2009.5336725,J. Stadon,Henry,,,,,No,No,No,,,IEEE,,,Project SLARiPS: An investigation of mediated mixed reality,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336725,"2009 IEEE International Symposium on Mixed and Augmented Reality - Arts, Media and Humanities",,2009
10.1109/TVCG.2024.3366469,"R. Chaudhury, and P. K. Chilana",Henry,,,,,No,No,No,,,IEEE,,,Designing Visual and Interactive Self-Monitoring Interventions to Facilitate Learning: Insights From Informal Learners and Experts,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10439245,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/CSCWD.2014.6846915,"B. Arunachalan, and S. Diamond, and S. Szigeti, and F. Chevalier, and A. Stevens, and M. Ghaden, and B. Talaie, and D. Reffly",Henry,,,,,No,No,No,,,IEEE,,,Designing portable solutions to support collaborative workflow in long-term care: A five point strategy,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846915,Proceedings of the 2014 IEEE 18th International Conference on Computer Supported Cooperative Work in Design (CSCWD),,2014
10.1109/ACCESS.2025.3572446,Z. Su,Henry,,,,,No,No,No,,,IEEE,,,Inheriting Cultural Heritage: The Application of Virtual Reality Technology in the Display of Peking Opera Costumes,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009209,IEEE Access,,2025
10.1109/ISMAR-Adjunct60411.2023.00026,"N. Xu, and Y. Liu, and Z. Zhang, and L. Yu",Henry,,,,,No,No,No,,,IEEE,,,TimeQuestAR: Unfolding Cultural Narratives via Situated Visualizations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322158,2023 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),,2023
10.1109/WCONF61366.2024.10692235,"N. Kunhare, and R. K. Gupta, and M. Mohanty, and J. Patel, and A. Jain",Henry,,,,,No,No,No,,,IEEE,,,"AI-Based Daily, Weekly and Monthly Rain Forecasting by using Different Time Series Models",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10692235,2024 2nd World Conference on Communication & Computing (WCONF),,2024
10.1109/ACROSET62108.2024.10743943,"J. Singh, and S. M. N. Islam, and M. Tewatia, and D. Garg, and N. Fatima",Henry,,,,,No,No,No,,,IEEE,,,Systematic Review of GAN for Enhancing Efficiency in AI in Gaming,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10743943,2024 International Conference on Advances in Computing Research on Science Engineering and Technology (ACROSET),,2024
10.1109/LDAV48142.2019.8944264,"J. Fallon, and R. J. Crouse",Henry,,,,,No,No,No,,,IEEE,,,VAMD: Visual Analytics for Multimodal Data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8944264,2019 IEEE 9th Symposium on Large Data Analysis and Visualization (LDAV),,2019
10.1109/ITCA52113.2020.00134,"X. Li, and J. Zhang",Henry,,,,,No,No,No,,,IEEE,,,A Visual System for Exploring Digital Cultural Relics and Generating Narrations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421982,2020 2nd International Conference on Information Technology and Computer Application (ITCA),,2020
10.1109/PacificVis56936.2023.00015,"Y. -H. Kuo, and B. Martínez-López, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,Investigating Animal Infectious Diseases with Visual Analytics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148220,2023 IEEE 16th Pacific Visualization Symposium (PacificVis),,2023
10.1109/APCIT62007.2024.10673555,"G. Saraf, and M. Kulkarni, and R. Sabane, and D. Oswal, and M. R. Karnavat",Henry,,,,,No,No,No,,,IEEE,,,Hearing Beyond Sight: Image Captioning and Translation with Speech Synthesis for the Visually Impaired,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673555,2024 Asia Pacific Conference on Innovation in Technology (APCIT),,2024
10.1109/TQCEBT59414.2024.10545303,"D. Lavanya, and K. Bhushan, and G. S. Kant, and A. C. Sountharraj, and A. Srivastav, and M. S. Begum",Henry,,,,,No,No,No,,,IEEE,,,Image Processing: Unlocking the Secrets of Visual Information,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10545303,2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,,2024
